ticket_id,ticket_text
1,"I was charged twice for my monthly subscription this month. Please refund the duplicate charge immediately, this is unacceptable."
2,"Hi, I forgot my password and the reset email never arrives. Can you help me get back into my account?"
3,"The app keeps crashing every time I try to log in on my iPhone. Very frustrating."
4,"Just wanted to say I love the new dashboard feature! Quick question though - how do I export my data to CSV?"
5,"I requested a refund three weeks ago and still haven't received it. Where is my money?"
6,"How do I upgrade from the free plan to the pro plan? I can't find the option."
7,"Your service is down again. This is the third time this week. I'm losing business because of this."
8,"Can you explain how the billing cycle works? I'm confused about when I get charged."
9,"I'd like to cancel my account. The product just isn't what I expected."
10,"The new update broke my integrations and now nothing syncs. Need this fixed today."
